Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-96379d02,2025-02-20,2025-02-27,CUST-9902,Sandra Manning,Consumer,New York,California,Central,PROD-78727,Technology,Copiers,Copiers - Drive,477.54,8,0.2,47.65
ORD-c186dc48,2024-07-28,2024-08-02,CUST-3775,Sandra Lewis,Consumer,New York,Michigan,West,PROD-38771,Office Supplies,Art,Art - Choice,492.05,3,0.2,58.35
ORD-afd3e140,2025-02-17,2025-02-24,CUST-2583,Robert Moody,Corporate,Los Angeles,New York,Central,PROD-90836,Furniture,Furnishings,Furnishings - Power,534.12,10,0.3,70.81
ORD-e786fb2f,2023-12-15,2023-12-16,CUST-7427,Elizabeth Schultz,Home Office,Houston,Illinois,East,PROD-51394,Technology,Accessories,Accessories - My,903.93,3,0.1,152.87
ORD-3a035b42,2024-07-21,2024-07-22,CUST-4627,James Schaefer,Consumer,Houston,Florida,East,PROD-73299,Office Supplies,Storage,Storage - His,915.7,10,0.1,70.19
ORD-4a09e15f,2023-06-03,2023-06-10,CUST-8083,Erin Rodriguez,Consumer,San Antonio,New York,South,PROD-84104,Technology,Accessories,Accessories - Along,63.66,2,0.2,12.51
ORD-e7859e70,2024-11-03,2024-11-05,CUST-6209,Susan Roman,Corporate,Chicago,Pennsylvania,Central,PROD-93030,Furniture,Bookcases,Bookcases - Trade,879.88,10,0.3,164.09
ORD-b19715e8,2023-05-26,2023-05-28,CUST-3937,Nicole Woods DDS,Consumer,Phoenix,Pennsylvania,South,PROD-53866,Furniture,Furnishings,Furnishings - Position,236.38,9,0.0,26.11
ORD-e0a71da9,2024-11-12,2024-11-16,CUST-9502,Laura Williams,Corporate,Houston,Ohio,South,PROD-46428,Office Supplies,Binders,Binders - Yeah,924.26,3,0.1,183.21
ORD-6ff1206a,2024-09-25,2024-09-29,CUST-6547,Timothy Henry,Home Office,Los Angeles,California,South,PROD-26561,Office Supplies,Binders,Binders - Really,300.42,8,0.1,40.42
ORD-b4fdd3a6,2023-08-29,2023-08-30,CUST-3702,Stephanie Powers,Consumer,Philadelphia,Florida,East,PROD-28689,Office Supplies,Art,Art - Card,997.38,2,0.1,109.18
ORD-bd0180d2,2024-06-08,2024-06-15,CUST-1785,Olivia Morgan,Home Office,Los Angeles,New York,Central,PROD-63082,Furniture,Chairs,Chairs - Such,846.13,2,0.1,129.04
ORD-9d2db541,2024-07-19,2024-07-23,CUST-7415,Mercedes Smith,Home Office,Philadelphia,Ohio,West,PROD-42514,Furniture,Bookcases,Bookcases - Generation,375.69,8,0.1,60.95
ORD-e6e0e250,2024-11-30,2024-12-04,CUST-8357,Donald Cooper,Consumer,Philadelphia,Ohio,Central,PROD-50361,Office Supplies,Storage,Storage - Simple,695.12,5,0.3,33.58
ORD-505fc06b,2023-07-21,2023-07-28,CUST-4960,Kathleen Gilbert,Home Office,Houston,Texas,Central,PROD-43275,Furniture,Tables,Tables - Baby,353.88,10,0.2,37.27
ORD-2fa1c59f,2024-03-09,2024-03-14,CUST-8574,Joanne Mccarthy,Corporate,San Antonio,Illinois,West,PROD-59786,Technology,Machines,Machines - Oil,589.05,6,0.0,54.05
ORD-37cd7246,2025-03-12,2025-03-16,CUST-3856,Angela Thompson,Home Office,Houston,California,Central,PROD-22536,Furniture,Tables,Tables - Capital,96.34,5,0.3,16.61
ORD-a0327179,2023-06-14,2023-06-19,CUST-5036,Melissa Parks,Consumer,Los Angeles,Florida,South,PROD-96107,Technology,Copiers,Copiers - Reality,266.69,3,0.3,12.06
ORD-344b498d,2025-03-21,2025-03-23,CUST-3226,John Jones,Home Office,Chicago,Michigan,Central,PROD-96884,Office Supplies,Paper,Paper - Improve,985.91,7,0.1,132.92
ORD-111cc238,2023-08-15,2023-08-19,CUST-7748,Jennifer Fischer,Home Office,Philadelphia,Michigan,East,PROD-73078,Office Supplies,Storage,Storage - Interesting,883.68,3,0.2,56.47
ORD-61eaeb01,2023-06-11,2023-06-18,CUST-1159,Bill Ryan,Corporate,San Antonio,Florida,South,PROD-52890,Technology,Machines,Machines - Star,447.94,2,0.3,56.99
ORD-9ac4fdbc,2024-08-23,2024-08-27,CUST-2385,Meredith Torres,Corporate,San Diego,Texas,Central,PROD-75240,Furniture,Tables,Tables - Fund,444.34,8,0.2,33.9
ORD-59d07753,2025-03-03,2025-03-06,CUST-1953,Melissa Griffin,Corporate,Chicago,California,South,PROD-34677,Furniture,Bookcases,Bookcases - Word,759.73,7,0.0,143.84
ORD-e4c819aa,2024-01-03,2024-01-06,CUST-6794,Dr. Kaitlyn Davidson,Home Office,Houston,Pennsylvania,West,PROD-35906,Office Supplies,Paper,Paper - Despite,915.83,10,0.1,150.88
ORD-457c0703,2023-11-30,2023-12-07,CUST-1789,Rachel Morse,Home Office,San Antonio,Texas,Central,PROD-26944,Technology,Computers,Computers - Job,680.2,6,0.1,141.37
ORD-ee023b74,2024-06-14,2024-06-15,CUST-5732,Jessica Bennett,Consumer,Philadelphia,New York,South,PROD-83825,Office Supplies,Art,Art - Cost,392.54,9,0.2,58.29
ORD-5c094e98,2024-07-16,2024-07-23,CUST-8398,Shannon Nguyen,Home Office,Houston,Texas,South,PROD-75465,Technology,Computers,Computers - Face,140.98,1,0.0,35.82
ORD-3ecea0e8,2024-02-26,2024-03-01,CUST-9332,Nicholas Parks,Corporate,Phoenix,Ohio,East,PROD-82170,Technology,Phones,Phones - Guess,368.81,4,0.2,49.87
ORD-4c343e6d,2023-10-01,2023-10-02,CUST-5436,Adam Davis,Corporate,Los Angeles,Florida,Central,PROD-91234,Furniture,Bookcases,Bookcases - Executive,440.67,2,0.1,46.79
ORD-fb96e373,2025-04-05,2025-04-11,CUST-2319,Dale Hodge,Corporate,Los Angeles,Texas,East,PROD-87824,Furniture,Tables,Tables - Card,63.29,10,0.2,12.77
ORD-7a8a2eda,2024-09-13,2024-09-18,CUST-4255,Mark Wall,Corporate,Phoenix,Michigan,Central,PROD-52949,Technology,Computers,Computers - We,403.79,1,0.0,25.69
ORD-b239187b,2024-02-28,2024-03-03,CUST-7903,Curtis Zimmerman,Home Office,Los Angeles,New York,West,PROD-22697,Technology,Copiers,Copiers - Hard,381.79,1,0.0,45.33
ORD-2c57eb76,2025-03-23,2025-03-29,CUST-7769,Robert Jones,Corporate,San Diego,New York,East,PROD-94614,Technology,Accessories,Accessories - Interest,630.01,4,0.3,68.84
ORD-c53b824f,2023-07-05,2023-07-09,CUST-9072,Steven Cox,Home Office,Phoenix,Ohio,West,PROD-38251,Office Supplies,Art,Art - Film,742.44,3,0.0,94.54
ORD-8754bf5f,2024-04-18,2024-04-20,CUST-7130,Janet Hammond,Home Office,Philadelphia,Pennsylvania,West,PROD-63510,Technology,Machines,Machines - Suggest,617.75,9,0.1,92.67
ORD-de6d4004,2024-07-27,2024-07-30,CUST-3298,Angela Cordova,Consumer,Philadelphia,Texas,West,PROD-82359,Office Supplies,Art,Art - Test,246.81,5,0.2,27.84
ORD-3baf3883,2024-01-24,2024-01-29,CUST-8334,Kenneth Freeman,Consumer,Los Angeles,Pennsylvania,Central,PROD-77354,Furniture,Chairs,Chairs - Memory,696.43,7,0.0,129.42
ORD-a12d9155,2024-10-15,2024-10-18,CUST-9851,Katherine Farmer,Corporate,Houston,Pennsylvania,Central,PROD-17285,Office Supplies,Art,Art - Fish,678.09,6,0.0,200.63
ORD-78e5084a,2024-11-22,2024-11-28,CUST-1091,Barry Best,Home Office,Chicago,New York,South,PROD-24868,Office Supplies,Binders,Binders - Beat,805.29,5,0.1,141.93
ORD-fedbd4b7,2025-02-24,2025-03-03,CUST-5915,Joy Smith,Consumer,Houston,Texas,East,PROD-20084,Office Supplies,Paper,Paper - By,856.74,3,0.3,87.5
ORD-b45e0bb8,2023-12-28,2023-12-30,CUST-8078,David Camacho,Corporate,San Antonio,Florida,East,PROD-19072,Office Supplies,Binders,Binders - Certainly,407.4,4,0.1,66.29
